targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460035.5,A.D. 2023-Apr-01 00:00:00.0000,12.5,3.064832995990728,4.5,-25.09671434039821,1.682118742467004,-0.01607498913427966,0.02614724482035276,-0.001193569718959263,0.1463461865855443,25.33905671962991,-0.02792072431806051
ATLAS (C/2025 N1),2460065.5,A.D. 2023-May-01 00:00:00.0000,12.5,2.583705397330017,4.5,-24.31289962010942,1.646279386474162,-0.01599860048058846,0.02610768457265498,-0.001196044881343469,0.1415299997000878,24.50515981045704,-0.02767001782555077
ATLAS (C/2025 N1),2460095.5,A.D. 2023-May-31 00:00:00.0000,12.5,2.104875741516936,4.5,-23.53022845910699,1.610356445503388,-0.01592194769544353,0.02607003738251058,-0.001198622128426231,0.1367585424866842,23.67900760392143,-0.02740308532915666
ATLAS (C/2025 N1),2460125.5,A.D. 2023-Jun-30 00:00:00.0000,12.5,1.628365682662663,4.5,-22.74864610193378,1.574347449338543,-0.015844779440552,0.02603456424024661,-0.001201417703893319,0.1320348475118107,22.8611251726318,-0.02711780927780689
ATLAS (C/2025 N1),2460155.5,A.D. 2023-Jul-30 00:00:00.0000,12.5,1.154194688039518,4.5,-21.96809490618244,1.538249934306662,-0.01576702849711904,0.02600133545248303,-0.001204439491176759,0.1273623677247754,22.05211037622776,-0.0268115270750107
ATLAS (C/2025 N1),2460185.5,A.D. 2023-Aug-29 00:00:00.0000,12.5,0.6823807987607826,4.5,-21.18851547792616,1.502061581368965,-0.01568845079796005,0.025970451037428,-0.001207730426502828,0.122745054541338,21.25264738113957,-0.02648116616924838
ATLAS (C/2025 N1),2460215.5,A.D. 2023-Sep-28 00:00:00.0000,12.5,0.2129407809363882,4.5,-20.40984451327589,1.465779620509357,-0.01560889146781951,0.02594176969952422,-0.001211174267964117,0.1181874286677811,20.46351892339595,-0.02612290545263488
ATLAS (C/2025 N1),2460245.5,A.D. 2023-Oct-28 00:00:00.0000,12.5,-0.2541109389023437,4.5,-19.63201484570452,1.429401054111367,-0.01552855926375834,0.02591512005316137,-0.001214619876268742,0.1136946785187987,19.68562334915324,-0.02573229278974481
ATLAS (C/2025 N1),2460275.5,A.D. 2023-Nov-27 00:00:00.0000,12.5,-0.7187604191473949,4.5,-18.85495566951851,1.392922507184414,-0.0154476671787024,0.0258905669189806,-0.001218017772225265,0.1092727767551479,18.91999479256435,-0.02530438984777659
ATLAS (C/2025 N1),2460305.5,A.D. 2023-Dec-27 00:00:00.0000,12.5,-1.180995138782014,4.5,-18.07859074363863,1.356340129392086,-0.01536663033374288,0.02586825535286858,-0.001221325090321474,0.1049286041220011,18.16782461772467,-0.02483347499093046
ATLAS (C/2025 N1),2460335.5,A.D. 2024-Jan-26 00:00:00.0000,12.5,-1.64080433792716,4.5,-17.30283967972655,1.319650185315921,-0.01528575488823586,0.02584866109272855,-0.001224689101620056,0.1006701136642654,17.43048985167325,-0.02431317023790836
ATLAS (C/2025 N1),2460365.5,A.D. 2024-Feb-25 00:00:00.0000,12.5,-2.098178494840435,4.5,-16.52761656974877,1.282848788724176,-0.01520490880942506,0.0258323228086229,-0.001228295970134964,0.09650650283275392,16.70958298365271,-0.02373607002595171
