targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460035.5,A.D. 2023-Apr-01 00:00:00.0000,12.5,12.43654814332602,4.5,-29.99404239601351,1.436585982652674,-0.01641268300569184,0.04788186930962177,-0.001379803134017222,0.1877153712021141,32.50190899409873,-0.05052842116362889
ATLAS (C/2025 N1),2460065.5,A.D. 2023-May-01 00:00:00.0000,12.5,11.82087981401487,4.5,-28.60342980272844,1.395191354107256,-0.02429507735691333,0.04414940408119804,-0.001380285640018155,0.1789326005246974,30.98121939129532,-0.05009290670477295
ATLAS (C/2025 N1),2460095.5,A.D. 2023-May-31 00:00:00.0000,12.5,11.00815497596252,4.5,-27.37756289718011,1.353793652103935,-0.02928328334554541,0.03715620056458956,-0.001380501239380055,0.1706021231393113,29.53884194440158,-0.04541376590150702
ATLAS (C/2025 N1),2460125.5,A.D. 2023-Jun-30 00:00:00.0000,12.5,10.10406208978191,4.5,-26.38835414514293,1.312395721667348,-0.03027235143052182,0.02870665323115163,-0.00138046408738419,0.1633726300185934,28.28709401359391,-0.03765698819728262
ATLAS (C/2025 N1),2460155.5,A.D. 2023-Jul-30 00:00:00.0000,12.5,9.233508476802175,4.5,-25.64914060195615,1.270997412859755,-0.02709140478337649,0.02083346225231565,-0.001380251792599437,0.1576146811518083,27.29013607209736,-0.02881126765477638
ATLAS (C/2025 N1),2460185.5,A.D. 2023-Aug-29 00:00:00.0000,12.5,8.512836476635005,4.5,-25.113538306758,1.229595795543869,-0.02047321750110768,0.0154259907126512,-0.001380039591068803,0.1533147318779123,26.54562293455077,-0.02122320706834703
ATLAS (C/2025 N1),2460215.5,A.D. 2023-Sep-28 00:00:00.0000,12.5,8.02405659598001,4.5,-24.68483499299869,1.188184484596697,-0.01195012611452791,0.01388898816168458,-0.00138014919263008,0.1500677441253078,25.98342443282831,-0.01694833343690038
ATLAS (C/2025 N1),2460245.5,A.D. 2023-Oct-28 00:00:00.0000,12.5,7.793721925892577,4.5,-24.23580540236348,1.146754164661555,-0.003632952787737112,0.01679006388026537,-0.001380801442154002,0.1471829866673959,25.48394416242388,-0.01714092534943366
ATLAS (C/2025 N1),2460275.5,A.D. 2023-Nov-27 00:00:00.0000,12.5,7.781444246020667,4.5,-23.6386718020176,1.10529565633398,0.002224229673800995,0.02356177818307541,-0.001382004113617181,0.1438741036900072,24.91102883474187,-0.02172487331128151
ATLAS (C/2025 N1),2460305.5,A.D. 2023-Dec-27 00:00:00.0000,12.5,7.885115388846915,4.5,-22.80074717939863,1.063802000681438,0.003885170561320534,0.03246234377536145,-0.001383565626343445,0.1394737802613537,24.1491364510398,-0.02944215071268697
ATLAS (C/2025 N1),2460335.5,A.D. 2024-Jan-26 00:00:00.0000,12.5,7.966894741974282,4.5,-21.69456962494165,1.022270106893524,0.0007949841935032192,0.04100059863668407,-0.001385202947176491,0.1336094483984301,23.13375886475405,-0.03823731556695903
ATLAS (C/2025 N1),2460365.5,A.D. 2024-Feb-25 00:00:00.0000,12.5,7.894199243734346,4.5,-20.36856307440593,0.9807011653443339,-0.006146397413775737,0.04676492395751945,-0.001386660480755014,0.1262923123719852,21.86683603522778,-0.04584179837670888
ATLAS (C/2025 N1),2460395.5,A.D. 2024-Mar-26 00:00:00.0000,12.5,7.579779958215577,4.5,-18.9315928857207,0.9390994690885549,-0.01492049649819065,0.04824999620116104,-0.001387783100077021,0.1179026739661415,20.41421517517829,-0.05034955410697428
ATLAS (C/2025 N1),2460425.5,A.D. 2024-Apr-25 00:00:00.0000,12.5,7.004618454063785,4.5,-17.5184750467211,0.897470173887446,-0.02313395431197374,0.04525005455303616,-0.001388542197136316,0.1090896041793474,18.88827944421138,-0.05061353803399751
ATLAS (C/2025 N1),2460455.5,A.D. 2024-May-25 00:00:00.0000,12.5,6.217799939067256,4.5,-16.25179735122272,0.8558169122592311,-0.02874198969091138,0.03873092865695271,-0.001389035867653388,0.100619139677767,17.42166397950504,-0.04645640662371144
ATLAS (C/2025 N1),2460485.5,A.D. 2024-Jun-24 00:00:00.0000,12.5,5.318738265788627,4.5,-15.21268051845725,0.8141399181828024,-0.03048104550224558,0.03041146574372143,-0.001389485627866137,0.09319500814118671,16.13621545167861,-0.03878802022326468
ATLAS (C/2025 N1),2460515.5,A.D. 2024-Jul-24 00:00:00.0000,12.5,4.430971535954052,4.5,-14.42506814044076,0.7724348816384833,-0.02801457724033536,0.02231193987532589,-0.001390213987356737,0.08726820721751359,15.11002168281588,-0.0295867806514073
ATLAS (C/2025 N1),2460545.5,A.D. 2024-Aug-23 00:00:00.0000,12.5,3.674270534207097,4.5,-13.85257632052817,0.7306925565712092,-0.02191980143630075,0.01637228559926101,-0.001391552430275182,0.08287980416990358,14.35019324911093,-0.02148782305494753
ATLAS (C/2025 N1),2460575.5,A.D. 2024-Sep-22 00:00:00.0000,12.5,3.138356577903978,4.5,-13.40607057344412,0.6888991885659848,-0.01359841954761395,0.01411027078590298,-0.001393692269830848,0.07961978674550967,13.78573872965262,-0.01688702313613612
ATLAS (C/2025 N1),2460605.5,A.D. 2024-Oct-22 00:00:00.0000,12.5,2.860672693744707,4.5,-12.96162402717016,0.6470376484366874,-0.00508459466189074,0.01626910866937952,-0.001396623089079695,0.07675266288815177,13.28931162253884,-0.0170304606502843
ATLAS (C/2025 N1),2460635.5,A.D. 2024-Nov-21 00:00:00.0000,12.5,2.812713246656284,4.5,-12.38884395693887,0.6050888176098089,0.001347756588437201,0.02249692210604375,-0.001400223198952514,0.07345608897630809,12.71852754348918,-0.02168232628584687
ATLAS (C/2025 N1),2460665.5,A.D. 2024-Dec-21 00:00:00.0000,12.5,2.901841109623827,4.5,-11.58612646525761,0.5630326305290134,0.003816395929218458,0.03124368485657789,-0.001404381115253626,0.06905936160356836,11.95725779756738,-0.02941388633906492
ATLAS (C/2025 N1),2460695.5,A.D. 2025-Jan-20 00:00:00.0000,12.5,2.99370666424374,4.5,-10.51278179681616,0.5208481243599455,0.00152188219814552,0.04009928489260581,-0.001409078317396671,0.06320226092025114,10.94313225121838,-0.03817306321576553
