targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2461131.5,A.D. 2026-Apr-01 00:00:00.0000,12.5,-11.46573852553954,4.5,4.486377861082487,0.141459723154781,-0.002458704077224111,0.02927100081323141,-0.002090225345205825,0.07111414204768333,12.31303200278988,0.01293068558147169
ATLAS (C/2025 N1),2461138.5,A.D. 2026-Apr-08 00:00:00.0000,12.5,-11.48279445617795,4.5,4.691068578152337,0.1268364257888563,-0.002415447779581615,0.02921284824617363,-0.002087861115617841,0.0716436184132023,12.40470799360735,0.01326196054770942
ATLAS (C/2025 N1),2461145.5,A.D. 2026-Apr-15 00:00:00.0000,12.5,-11.49955659539445,4.5,4.895361644544488,0.1122321792085055,-0.002373228490415482,0.02915742356499527,-0.002084950558106577,0.0721863466423611,12.498678473487,0.01358489300518042
ATLAS (C/2025 N1),2461152.5,A.D. 2026-Apr-22 00:00:00.0000,12.5,-11.51602226363905,4.5,5.099290997085696,0.09764194523956554,-0.002332248579515699,0.02910911255592708,-0.00208382798893469,0.07274197618493411,12.59488274653875,0.01390172474494608
ATLAS (C/2025 N1),2461159.5,A.D. 2026-Apr-29 00:00:00.0000,12.5,-11.53221662630246,4.5,5.302891385402776,0.08306204197107901,-0.002294352907851433,0.0290625516000203,-0.002081707035852497,0.07331032126426304,12.69328864653138,0.0142123624109198
ATLAS (C/2025 N1),2461166.5,A.D. 2026-May-06 00:00:00.0000,12.5,-11.54813987395605,4.5,5.506179070711852,0.06849469139465986,-0.002255631811197865,0.02902079923754845,-0.002080712765912343,0.07389103309130698,12.79383578251449,0.01451476745637095
ATLAS (C/2025 N1),2461173.5,A.D. 2026-May-13 00:00:00.0000,12.5,-11.56380726392622,4.5,5.709188813175012,0.05393304489665841,-0.002220945171216781,0.02898173121206253,-0.002079403839709231,0.07448389868600137,12.89648727813304,0.01481276295052186
ATLAS (C/2025 N1),2461180.5,A.D. 2026-May-20 00:00:00.0000,12.5,-11.57922687324992,4.5,5.91192810772589,0.03938269285554987,-0.002184571056378849,0.02894483277550945,-0.00207820316357449,0.07508861084532344,13.00118994283251,0.01510119996461255
ATLAS (C/2025 N1),2461187.5,A.D. 2026-May-27 00:00:00.0000,12.5,-11.59440101733472,4.5,6.114427302456058,0.0248360858934899,-0.002151644509489785,0.02891197960161269,-0.002077673437317348,0.07570490144932415,13.1078973530828,0.01538581055569108
ATLAS (C/2025 N1),2461194.5,A.D. 2026-Jun-03 00:00:00.0000,12.5,-11.6093462609218,4.5,6.316693977092071,0.01029814558106165,-0.002117873697284556,0.02887915472651029,-0.002076260147805871,0.07633252634020321,13.21656723427126,0.01566114154416279
ATLAS (C/2025 N1),2461201.5,A.D. 2026-Jun-10 00:00:00.0000,12.5,-11.62405526442545,4.5,6.518748575220103,-0.004235817428579595,-0.002085659644654362,0.02885108384365345,-0.002076243663857501,0.07697116329087933,13.32714379450828,0.01593181423826209
ATLAS (C/2025 N1),2461208.5,A.D. 2026-Jun-17 00:00:00.0000,12.5,-11.63854799826053,4.5,6.720604820252296,-0.01876484174366081,-0.002054447292562107,0.02882224195430518,-0.002074898719555994,0.07762062020170393,13.43959377277075,0.01619488062355299
ATLAS (C/2025 N1),2461215.5,A.D. 2026-Jun-24 00:00:00.0000,12.5,-11.65281523744825,4.5,6.922271125331137,-0.03328860340097881,-0.002022573419733789,0.02879745495328317,-0.002074946107562459,0.07828055149236436,13.55385733368239,0.016451518696039
