targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460035.5,A.D. 2023-Apr-01 00:00:00.0000,12.5,12.50960664661734,4.5,-31.44499105669273,1.384200683652343,-0.003274635198390979,0.03868201917031566,-0.001466794725273947,0.1956182410244433,33.87024848655825,-0.03718161335219371
ATLAS (C/2025 N1),2460065.5,A.D. 2023-May-01 00:00:00.0000,12.5,12.37740884611018,4.5,-30.24957754992258,1.341752914117573,-0.005618322108806442,0.04091599196438313,-0.001363123462726786,0.1889254494815834,32.71142755330452,-0.04001845270964422
ATLAS (C/2025 N1),2460095.5,A.D. 2023-May-31 00:00:00.0000,12.5,12.16833813641526,4.5,-28.99613116842259,1.302387270250858,-0.00837906641877981,0.04254040935082425,-0.001262040783980743,0.1817720222292973,31.47285001934552,-0.04248456266197035
ATLAS (C/2025 N1),2460125.5,A.D. 2023-Jun-30 00:00:00.0000,12.5,11.87171034256972,4.5,-27.70382979136133,1.265962528350894,-0.01143516681846197,0.04349735846470994,-0.001167749885189478,0.1742295315361208,30.16690823882661,-0.04449500493847244
ATLAS (C/2025 N1),2460155.5,A.D. 2023-Jul-30 00:00:00.0000,12.5,11.48051873592244,4.5,-26.39347600886134,1.232213063186577,-0.01466180798616519,0.04373584560290363,-0.00108438652852794,0.1663846777298552,28.80861390815762,-0.04595855782586786
ATLAS (C/2025 N1),2460185.5,A.D. 2023-Aug-29 00:00:00.0000,12.5,10.99165809027695,4.5,-25.08731838315048,1.200747070598717,-0.0179220889564238,0.04321071727103271,-0.001016261247210537,0.1583410658808753,27.41590568919185,-0.04677046905060987
ATLAS (C/2025 N1),2460215.5,A.D. 2023-Sep-28 00:00:00.0000,12.5,10.40643615936823,4.5,-23.8088240101272,1.171038765051977,-0.02105703369673951,0.04188718261146211,-0.0009680097401067835,0.1502218142446355,26.01010084704538,-0.04681053795360687
ATLAS (C/2025 N1),2460245.5,A.D. 2023-Oct-28 00:00:00.0000,12.5,9.731380163680027,4.5,-22.58221315571581,1.142418321352467,-0.02387631693112831,0.03975245286781037,-0.0009445766379116469,0.1421717751580044,24.61627978637737,-0.04595036262838531
ATLAS (C/2025 N1),2460275.5,A.D. 2023-Nov-27 00:00:00.0000,12.5,8.979269354909134,4.5,-21.43151531830795,1.114066292801298,-0.02615328364950196,0.03683625919855782,-0.0009509079564838404,0.1343572610488208,23.2632386114151,-0.04407613330699426
ATLAS (C/2025 N1),2460305.5,A.D. 2023-Dec-27 00:00:00.0000,12.5,8.17017453490098,4.5,-20.37886820084694,1.085023715356752,-0.02763085520972651,0.03324058927707939,-0.0009911834343429111,0.1269599364773171,21.98243156570996,-0.04113420993659114
ATLAS (C/2025 N1),2460335.5,A.D. 2024-Jan-26 00:00:00.0000,12.5,7.332038927531049,4.5,-19.44183421838293,1.054234040296025,-0.02804793548081166,0.02917399789027951,-0.001067450104170486,0.1201606439566964,20.80517055978237,-0.03720084511033628
ATLAS (C/2025 N1),2460365.5,A.D. 2024-Feb-25 00:00:00.0000,12.5,6.500043392975996,4.5,-18.62978506486768,1.020634405274591,-0.02719494084357801,0.02497598088591456,-0.001177749717512829,0.1141101460341394,19.75755931948499,-0.03255804488409694
