targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460766.5,A.D. 2025-Apr-01 00:00:00.0000,12.5,2.510908575041977,4.5,-7.221529277026686,0.4203510837976243,-0.0168052249953543,0.04870211461866666,-0.001423334379884076,0.04422397092539844,7.657143201274399,-0.05152031507020644
ATLAS (C/2025 N1),2460767.5,A.D. 2025-Apr-02 00:00:00.0000,12.5,2.493957067540564,4.5,-7.172854900619468,0.4189275379846688,-0.0170975228646319,0.04864577749897387,-0.001423761125581213,0.04392628913272753,7.605601196628585,-0.05156279354096316
ATLAS (C/2025 N1),2460768.5,A.D. 2025-Apr-03 00:00:00.0000,12.5,2.476714084097854,4.5,-7.124239417511132,0.4175035557875114,-0.01738815788362644,0.04858435391185502,-0.001424205161883798,0.04362837754210283,7.554019403700472,-0.05159990392245443
ATLAS (C/2025 N1),2460769.5,A.D. 2025-Apr-04 00:00:00.0000,12.5,2.459181337498256,4.5,-7.07568783737624,0.4160791257364073,-0.01767703688236845,0.04851799610453204,-0.001424655026046655,0.04333026693668082,7.502403152428382,-0.05163172326008979
ATLAS (C/2025 N1),2460770.5,A.D. 2025-Apr-05 00:00:00.0000,12.5,2.441360615497524,4.5,-7.027205023533011,0.4146542471235604,-0.01796410113471511,0.0484468429361137,-0.001425100795647167,0.04303198765550005,7.450757695854001,-0.05165832615517083
ATLAS (C/2025 N1),2460771.5,A.D. 2025-Apr-06 00:00:00.0000,12.5,2.423253752297117,4.5,-6.978795709904977,0.4132289281619962,-0.01824931459522184,0.04837101389659154,-0.001425534582788388,0.04273356963817202,7.399088217860365,-0.05167977529173024
ATLAS (C/2025 N1),2460772.5,A.D. 2025-Apr-07 00:00:00.0000,12.5,2.404862611048564,4.5,-6.930464520918148,0.4118031839281263,-0.01853265402492782,0.04829060874275594,-0.001425950518362882,0.04243504250644465,7.347399847294135,-0.05169611783639703
ATLAS (C/2025 N1),2460773.5,A.D. 2025-Apr-08 00:00:00.0000,12.5,2.38618907464061,4.5,-6.882215990156846,0.4103770344607463,-0.0188141023469676,0.04820570990192691,-0.001426344496059501,0.04213643565487314,7.295697673664773,-0.05170738548549592
ATLAS (C/2025 N1),2460774.5,A.D. 2025-Apr-09 00:00:00.0000,12.5,2.367235041622921,4.5,-6.834054576178063,0.4089505031493362,-0.0190936448773853,0.04811638547880638,-0.001426713874195578,0.04183777833600506,7.243986761893887,-0.05171359601648382
ATLAS (C/2025 N1),2460775.5,A.D. 2025-Apr-10 00:00:00.0000,12.5,2.348002424872486,4.5,-6.785984675524944,0.4075236153968044,-0.0193712674306084,0.04802269174216173,-0.001427057234105652,0.04153909973578509,7.192272165371145,-0.0517147549635195
ATLAS (C/2025 N1),2460776.5,A.D. 2025-Apr-11 00:00:00.0000,12.5,2.328493151634463,4.5,-6.738010633664953,0.4060963974836633,-0.01964695532399349,0.04792467478742381,-0.001427374218318116,0.0412404290405322,7.140558937551023,-0.05171085681277804
ATLAS (C/2025 N1),2460777.5,A.D. 2025-Apr-12 00:00:00.0000,12.5,2.308709164402803,4.5,-6.690136754620418,0.4046688755608343,-0.01992069261263418,0.04782237153854009,-0.001427665430189464,0.040941795498646,7.088852142636927,-0.05170188565212731
ATLAS (C/2025 N1),2460778.5,A.D. 2025-Apr-13 00:00:00.0000,12.5,2.288652422595298,4.5,-6.642367309788905,0.4032410747255621,-0.02019246124056989,0.0477158104246055,-0.001427932362596143,0.04064322847965572,7.037156865805214,-0.05168781548822063
ATLAS (C/2025 N1),2460779.5,A.D. 2025-Apr-14 00:00:00.0000,12.5,2.26832490513858,4.5,-6.594706546117711,0.4018130181662957,-0.0204622400839513,0.04760501203569279,-0.001428177327633118,0.0403447575317166,6.985478223160363,-0.05166861051015471
ATLAS (C/2025 N1),2460780.5,A.D. 2025-Apr-15 00:00:00.0000,12.5,2.247728614006419,4.5,-6.547158693560473,0.4003847263837166,-0.02073000403274846,0.04748998991296214,-0.001428403373885383,0.04004641243723276,6.933821371365796,-0.05164422549467981
ATLAS (C/2025 N1),2460781.5,A.D. 2025-Apr-16 00:00:00.0000,12.5,2.226865578579574,4.5,-6.499727971682962,0.3989562164996843,-0.02099572329193972,0.04737075143959644,-0.001428614195319104,0.03974822326561703,6.882191516778954,-0.05161460638169558
ATLAS (C/2025 N1),2460782.5,A.D. 2025-Apr-17 00:00:00.0000,12.5,2.205737860550294,4.5,-6.452418595401961,0.397527501654435,-0.02125936299357178,0.04724729864315024,-0.00142881404963318,0.03945022042255419,6.830593923980961,-0.05157969087230094
ATLAS (C/2025 N1),2460783.5,A.D. 2025-Apr-18 00:00:00.0000,12.5,2.184347559085218,4.5,-6.405234780074066,0.3960985904709606,-0.0215208830371352,0.04711962865011907,-0.001429007709312428,0.03915243469638015,6.779033923806923,-0.05153940877886418
ATLAS (C/2025 N1),2460784.5,A.D. 2025-Apr-19 00:00:00.0000,12.5,2.162696816145665,4.5,-6.358180746398401,0.3946694865439782,-0.02178023786921355,0.04698773357784893,-0.001429200463375984,0.03885489730387864,6.727516921275399,-0.05149368183136345
ATLAS (C/2025 N1),2460785.5,A.D. 2025-Apr-20 00:00:00.0000,12.5,2.140787822251487,4.5,-6.3112607257387,0.3932401879001672,-0.02203737572376987,0.04685159981688672,-0.001429398171367356,0.03855763993928697,6.676048404073461,-0.0514424227424886
ATLAS (C/2025 N1),2460786.5,A.D. 2025-Apr-21 00:00:00.0000,12.5,2.118622823522854,4.5,-6.2644789663785,0.3918106863878595,-0.02229223672137826,0.04671120695721976,-0.001429607343062332,0.03826069483080936,6.624633952341693,-0.05138553358060845
ATLAS (C/2025 N1),2460787.5,A.D. 2025-Apr-22 00:00:00.0000,12.5,2.096204131441601,4.5,-6.217839740759334,0.3903809670000324,-0.02254474924915457,0.04656652705713329,-0.001429835177038303,0.037964094807503,6.573279250255143,-0.05132290393251573
ATLAS (C/2025 N1),2460788.5,A.D. 2025-Apr-23 00:00:00.0000,12.5,2.073534137224829,4.5,-6.1713473527767,0.3889510072256031,-0.02279482436392751,0.0464175255184116,-0.001430089442038256,0.03766787337485757,6.521990099109512,-0.05125440998073383
ATLAS (C/2025 N1),2460789.5,A.D. 2025-Apr-24 00:00:00.0000,12.5,2.050615332593065,4.5,-6.125006142673488,0.3875207766624043,-0.02304234880249521,0.04626416533405212,-0.00143037804470344,0.03737206478871413,6.470772430119821,-0.05117991636969948
ATLAS (C/2025 N1),2460790.5,A.D. 2025-Apr-25 00:00:00.0000,12.5,2.027450337437638,4.5,-6.07882048525478,0.386090237281815,-0.02328717866876351,0.04610641642030239,-0.001430708141463874,0.03707670410478967,6.419632312995307,-0.0510992831581872
ATLAS (C/2025 N1),2460791.5,A.D. 2025-Apr-26 00:00:00.0000,12.5,2.004041931936451,4.5,-6.032794775988145,0.3846593448216452,-0.02352913759768008,0.04594427035470454,-0.00143108478921735,0.03678182716921752,6.368575954301562,-0.05101237937948648
ATLAS (C/2025 N1),2460792.5,A.D. 2025-Apr-27 00:00:00.0000,12.5,1.980393086392367,4.5,-5.986933400675306,0.3832280516554523,-0.02376802379220912,0.04577775769247795,-0.001431509418624814,0.03648747051381766,6.317609679327134,-0.05091910191135852
ATLAS (C/2025 N1),2460793.5,A.D. 2025-Apr-28 00:00:00.0000,12.5,1.956506978577544,4.5,-5.941240689126727,0.3817963110343695,-0.02400362789945976,0.04560696133062109,-0.001431978734426285,0.03619367113956647,6.266739894592491,-0.05081939404162551
ATLAS (C/2025 N1),2460794.5,A.D. 2025-Apr-29 00:00:00.0000,12.5,1.932386989057738,4.5,-5.895720860683411,0.3803640819297162,-0.02423575801060455,0.04543201838581277,-0.001432484702756961,0.03590046621393999,6.215973035446615,-0.0507132553376699
ATLAS (C/2025 N1),2460795.5,A.D. 2025-Apr-30 00:00:00.0000,12.5,1.908036671646243,4.5,-5.850377975235689,0.3789313332198325,-0.02446426265510983,0.04525310741913939,-0.001433015855711063,0.03560789275221211,6.165315510885511,-0.0506007368648949
ATLAS (C/2025 N1),2460796.5,A.D. 2025-May-01 00:00:00.0000,12.5,1.883459705878935,4.5,-5.805215902744762,0.377498046083808,-0.02468904260764624,0.04507042555659072,-0.001433559443252629,0.03531598736729592,6.114773660238566,-0.05048192315094682
ATLAS (C/2025 N1),2460797.5,A.D. 2025-May-02 00:00:00.0000,12.5,1.858659844882732,4.5,-5.760238316768061,0.3760642141860088,-0.02491004845906616,0.04488416501577857,-0.001434103550592655,0.03502478614334699,6.064353731283638,-0.05035690899665782
ATLAS (C/2025 N1),2460798.5,A.D. 2025-May-03 00:00:00.0000,12.5,1.833640871261753,4.5,-5.715448708215482,0.3746298420721647,-0.02512726812661785,0.04469449702964329,-0.00143463848176059,0.03473432463582758,6.014061880258184,-0.05022578010245213
ATLAS (C/2025 N1),2460799.5,A.D. 2025-May-04 00:00:00.0000,12.5,1.808406567497139,4.5,-5.67085041023085,0.3731949426439349,-0.02534071147661254,0.04450156559873986,-0.001435157232947039,0.03444463795996,5.963904187174472,-0.05008860213658911
ATLAS (C/2025 N1),2460800.5,A.D. 2025-May-05 00:00:00.0000,12.5,1.78296070074267,4.5,-5.62644662524574,0.3717595345241959,-0.02555039754273424,0.04430548878414776,-0.001435655296901491,0.03415576091805644,5.913886677866056,-0.04994541782595881
ATLAS (C/2025 N1),2460801.5,A.D. 2025-May-06 00:00:00.0000,12.5,1.757307018100533,4.5,-5.582240448592778,0.3703236397990542,-0.02575634644014798,0.04410636366843886,-0.001436130162600793,0.03386772812755756,5.864015346156991,-0.04979624905153258
ATLAS (C/2025 N1),2460802.5,A.D. 2025-May-07 00:00:00.0000,12.5,1.731449247746737,4.5,-5.538234886683658,0.3688872822898788,-0.02595857555589987,0.04390427186593196,-0.001436580790487936,0.03358057413021228,5.814296172765704,-0.04964110083980952
ATLAS (C/2025 N1),2460803.5,A.D. 2025-May-08 00:00:00.0000,12.5,1.705391102316735,4.5,-5.494432870153655,0.3674504862978364,-0.02615709857721793,0.04369928391433861,-0.001437007205630239,0.03329433347795876,5.764735140174832,-0.04947996519836639
ATLAS (C/2025 N1),2460804.5,A.D. 2025-May-09 00:00:00.0000,12.5,1.679136282461008,4.5,-5.45083726341714,0.3660132756780611,-0.02635192590926937,0.04349146204737784,-0.001437410245172922,0.03300904079958405,5.715338244172991,-0.04931282385517483
ATLAS (C/2025 N1),2460805.5,A.D. 2025-May-10 00:00:00.0000,12.5,1.652688479749463,4.5,-5.407450872208535,0.3645756730967928,-0.02654306542009988,0.04328086151059875,-0.001437791438705993,0.03272473085529089,5.66611150330272,-0.04913964971951292
ATLAS (C/2025 N1),2460806.5,A.D. 2025-May-11 00:00:00.0000,12.5,1.626051378946683,4.5,-5.364276450356582,0.3631376993596951,-0.02673052288122171,0.04306753086205195,-0.001438152977533505,0.03244143858603449,5.61706096740287,-0.04896040728930032
ATLAS (C/2025 N1),2460807.5,A.D. 2025-May-12 00:00:00.0000,12.5,1.599228660126125,4.5,-5.321316706556265,0.3616993727462059,-0.02691430182782052,0.04285151175707973,-0.00143849772591687,0.0321591991626143,5.56819272610859,-0.04877505240007037
ATLAS (C/2025 N1),2460808.5,A.D. 2025-May-13 00:00:00.0000,12.5,1.57222400122818,4.5,-5.278574311427559,0.3602607083285603,-0.02709440282592959,0.04263283865271648,-0.001438829234923335,0.03187804803709832,5.519512917755177,-0.04858353173412536
ATLAS (C/2025 N1),2460809.5,A.D. 2025-May-14 00:00:00.0000,12.5,1.545041081585781,4.5,-5.236051904778448,0.358821717287076,-0.0272708223059496,0.04241153873056736,-0.001439151733072786,0.03159802099692278,5.471027738745128,-0.04838578243127423
ATLAS (C/2025 N1),2460810.5,A.D. 2025-May-15 00:00:00.0000,12.5,1.517683586737222,4.5,-5.193752102776844,0.3573824062510237,-0.02744355119335028,0.0421876321615974,-0.001439470084320365,0.03131915422043673,5.422743453165401,-0.04818173199551772
ATLAS (C/2025 N1),2460811.5,A.D. 2025-May-16 00:00:00.0000,12.5,1.490155214625197,4.5,-5.151677504699897,0.355942776696054,-0.02761257352860927,0.04196113266737728,-0.001439789718828923,0.03104148433204382,5.374666402334914,-0.04797129851733754
ATLAS (C/2025 N1),2460812.5,A.D. 2025-May-17 00:00:00.0000,12.5,1.462459683151004,4.5,-5.109830699034495,0.3545028244188188,-0.02777786513068659,0.04173204822870727,-0.001440116550261969,0.03076504845541867,5.326803014018672,-0.04775439109074971
ATLAS (C/2025 N1),2460813.5,A.D. 2025-May-18 00:00:00.0000,12.5,1.434600739092579,4.5,-5.068214268854997,0.3530625390960789,-0.02793939216689672,0.04150038180986523,-0.001440456890333602,0.03048988426414597,5.279159811195655,-0.04753091026703469
ATLAS (C/2025 N1),2460814.5,A.D. 2025-May-19 00:00:00.0000,12.5,1.406582168621876,4.5,-5.026830796463946,0.3516219039320053,-0.02809710932452922,0.04126613213750799,-0.001440817354842051,0.03021603002977886,5.231743420379877,-0.04730074850823578
ATLAS (C/2025 N1),2460815.5,A.D. 2025-May-20 00:00:00.0000,12.5,1.378407809997936,4.5,-4.98568286709373,0.3501808954166248,-0.02825095723753779,0.0410292948923278,-0.001441204726763879,0.02994352466673777,5.184560579394367,-0.04706379090664518
ATLAS (C/2025 N1),2460816.5,A.D. 2025-May-21 00:00:00.0000,12.5,1.350081569282673,4.5,-4.944773070908444,0.3487394832699189,-0.02840085902546764,0.04078986507836813,-0.001441625707712259,0.02967240777066919,5.137618144012793,-0.0468199168932552
ATLAS (C/2025 N1),2460817.5,A.D. 2025-May-22 00:00:00.0000,12.5,1.32160743981776,4.5,-4.904104001595806,0.3472976307288791,-0.02854671637438222,0.04054784167112759,-0.001442086464393174,0.02940271964127179,5.090923091911677,-0.04656900414136213
ATLAS (C/2025 N1),2460818.5,A.D. 2025-May-23 00:00:00.0000,12.5,1.292989525310192,4.5,-4.863678248714058,0.3458552954261356,-0.02868840657253465,0.04030323559183016,-0.001442591890360038,0.02913450127280695,5.044482521027348,-0.04631093607075327
ATLAS (C/2025 N1),2460819.5,A.D. 2025-May-24 00:00:00.0000,12.5,1.264232064380796,4.5,-4.823498380275431,0.3444124311509103,-0.02882578305232049,0.04005608114551573,-0.001443144594415475,0.02886779428863721,4.998303638221623,-0.04604561373973587
ATLAS (C/2025 N1),2460820.5,A.D. 2025-May-25 00:00:00.0000,12.5,1.235339451533205,4.5,-4.783566912851768,0.3429689906850687,-0.02895868247110718,0.03980644899246218,-0.001443743814661146,0.02860264079652481,4.952393734227528,-0.04577297096385369
ATLAS (C/2025 N1),2460821.5,A.D. 2025-May-26 00:00:00.0000,12.5,1.20631624697164,4.5,-4.743886269754289,0.3415249295942698,-0.02908693994663533,0.03955445607948082,-0.001444384678556305,0.0283390831566105,4.906760143476078,-0.04549298848605967
ATLAS (C/2025 N1),2460822.5,A.D. 2025-May-27 00:00:00.0000,12.5,1.177167167833391,4.5,-4.704458733258622,0.3400802103748985,-0.02921041021176314,0.0393002667189302,-0.001445058303837335,0.02807716368561861,4.861410192880954,-0.04520570078601711
ATLAS (C/2025 N1),2460823.5,A.D. 2025-May-28 00:00:00.0000,12.5,1.14789705797769,4.5,-4.665286401793066,0.3386348059608722,-0.0293289879583728,0.03904408144848331,-0.001445752977076644,0.02781692435636602,4.816351149810123,-0.04491119039988949
ATLAS (C/2025 N1),2460824.5,A.D. 2025-May-29 00:00:00.0000,12.5,1.118510841289498,4.5,-4.626371163607485,0.3371887016129898,-0.02944261929235745,0.03878611616278294,-0.001446456114745049,0.02755840656689799,4.771590182112926,-0.04460957013774905
ATLAS (C/2025 N1),2460825.5,A.D. 2025-May-30 00:00:00.0000,12.5,1.089013469975805,4.5,-4.587714693061061,0.3357418947506242,-0.02955130014669879,0.03852657924415975,-0.001447156282998962,0.02730165103229252,4.727134339386583,-0.0443009598509729
ATLAS (C/2025 N1),2460826.5,A.D. 2025-May-31 00:00:00.0000,12.5,1.05940988021301,4.5,-4.549318467274773,0.3342943930384772,-0.02965506404898741,0.03826565478190357,-0.00144784457998255,0.02704669780496831,4.682990556492421,-0.04398546647783203
ATLAS (C/2025 N1),2460827.5,A.D. 2025-Jun-01 00:00:00.0000,12.5,1.029704962665737,4.5,-4.511183794728978,0.3328462115443958,-0.02975396579876219,0.03800349561555689,-0.001448515108590553,0.02679358638633843,4.639165672888094,-0.04366317283212735
ATLAS (C/2025 N1),2460828.5,A.D. 2025-Jun-02 00:00:00.0000,12.5,0.9999035487028781,4.5,-4.473311846312495,0.3313973698189216,-0.02984806719090943,0.0377402248524225,-0.001449164715033568,0.02654235587624271,4.59566645850101,-0.04333413540653363
ATLAS (C/2025 N1),2460829.5,A.D. 2025-Jun-03 00:00:00.0000,12.5,0.9700104084739957,4.5,-4.435703682214764,0.3299478894490064,-0.02993742778505719,0.03747594196980771,-0.001449792365445715,0.02629304511612533,4.552499638518751,-0.04299838809854279
ATLAS (C/2025 N1),2460830.5,A.D. 2025-Jun-04 00:00:00.0000,12.5,0.9400302556007962,4.5,-4.398360272004389,0.3284977922749977,-0.03002210073445211,0.03721072983975543,-0.001450398485562226,0.02604569280256692,4.509671913046555,-0.04265594820555824
ATLAS (C/2025 N1),2460831.5,A.D. 2025-Jun-05 00:00:00.0000,12.5,0.9099677541066711,4.5,-4.361282508199343,0.3270470992050888,-0.03010213218579891,0.03694466048746739,-0.001450984444143562,0.02580033756618709,4.467189970768867,-0.04230682211063638
ATLAS (C/2025 N1),2460832.5,A.D. 2025-Jun-06 00:00:00.0000,12.5,0.8798275248848851,4.5,-4.324471215084018,0.3255958294480576,-0.03017756253954136,0.03667779879701488,-0.001451552234329697,0.02555701802184752,4.42506049764173,-0.04195100942443909
