targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2461131.5,A.D. 2026-Apr-01 00:00:00.0000,12.5,-2.013296592765967,4.5,5.244309586099839,-0.2480030413659744,-0.003216205614446877,0.03481968986734967,-0.002156994184475918,0.03247549446070101,5.622957559312402,0.03372163995182486
ATLAS (C/2025 N1),2461138.5,A.D. 2026-Apr-08 00:00:00.0000,12.5,-2.035735939321856,4.5,5.487829060705002,-0.2630876006873638,-0.003195278773147332,0.03475828002002983,-0.002153065856926442,0.03383966025654132,5.859155544939938,0.03376232060095249
ATLAS (C/2025 N1),2461145.5,A.D. 2026-Apr-15 00:00:00.0000,12.5,-2.058034381622555,4.5,5.730937854759811,-0.278147710864264,-0.003175995494840627,0.03470217569381933,-0.00214990884314121,0.03520533528887865,6.095614846766366,0.03379647790297437
ATLAS (C/2025 N1),2461152.5,A.D. 2026-Apr-22 00:00:00.0000,12.5,-2.080203897095626,4.5,5.973669819800535,-0.2931872419023665,-0.003158430228944759,0.03465049411791651,-0.002147151420406385,0.0365722758933054,6.332293275607338,0.03382507693576175
ATLAS (C/2025 N1),2461159.5,A.D. 2026-Apr-29 00:00:00.0000,12.5,-2.102256128117696,4.5,6.216053644879934,-0.3082084311395556,-0.003142459714310825,0.03460261993041559,-0.002144653487681962,0.03794027458263483,6.569154906170126,0.03384895019153102
ATLAS (C/2025 N1),2461166.5,A.D. 2026-May-06 00:00:00.0000,12.5,-2.124201675613228,4.5,6.458114299049927,-0.323212842823226,-0.00312792191458205,0.03455809169704169,-0.002142350184036862,0.03930915516008964,6.806169230928441,0.03386881377478566
ATLAS (C/2025 N1),2461173.5,A.D. 2026-May-13 00:00:00.0000,12.5,-2.146050006253414,4.5,6.69987387229475,-0.338201703430554,-0.003114658024482941,0.03451654138011111,-0.002140205734532529,0.04067876813873655,7.043310367022134,0.03388527473815163
ATLAS (C/2025 N1),2461180.5,A.D. 2026-May-20 00:00:00.0000,12.5,-2.167809520902425,4.5,6.941352112828796,-0.3531760402877423,-0.003102523126505448,0.03447766457205147,-0.00213819742021145,0.04204898659231784,7.280556337850929,0.03389884476412763
ATLAS (C/2025 N1),2461187.5,A.D. 2026-May-27 00:00:00.0000,12.5,-2.189487665632622,4.5,7.182566813257679,-0.3681367466665012,-0.003091389850571401,0.03444120474915866,-0.002136308941211727,0.04341970262676382,7.517888462135771,0.03390995613926361
ATLAS (C/2025 N1),2461194.5,A.D. 2026-Jun-03 00:00:00.0000,12.5,-2.211091060561622,4.5,7.423534100237839,-0.38308461524157,-0.00308114922106889,0.03440694046753281,-0.002134527593585275,0.04479082442133073,7.755290841607703,0.0339189731757274
