targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460035.5,A.D. 2023-Apr-01 00:00:00.0000,12.5,6.815413438085423,4.5,-31.90840065555988,1.547580641411526,-0.01077179946369425,0.0234815045064319,-0.001408970520027883,0.1886563049772264,32.66482662696131,-0.02525199430950216
ATLAS (C/2025 N1),2460065.5,A.D. 2023-May-01 00:00:00.0000,12.5,6.49729139492415,4.5,-31.20184981307878,1.505185127505015,-0.01043829446852238,0.02362420427265549,-0.001417418694077147,0.1842775773017122,31.90667343200388,-0.02529480215963681
ATLAS (C/2025 N1),2460095.5,A.D. 2023-May-31 00:00:00.0000,12.5,6.189043627813875,4.5,-30.49077134991693,1.462536723449254,-0.01011282017740247,0.02378316740163433,-0.001425817720027475,0.1798895876538206,31.14691657624132,-0.02535856521596047
ATLAS (C/2025 N1),2460125.5,A.D. 2023-Jun-30 00:00:00.0000,12.5,5.890441349946199,4.5,-29.77467948045615,1.419637636916786,-0.009795632029179204,0.0239591720791686,-0.001434098728270748,0.1754887427744803,30.38493390615163,-0.02544396404301737
ATLAS (C/2025 N1),2460155.5,A.D. 2023-Jul-30 00:00:00.0000,12.5,5.601228754025992,4.5,-29.05309996723065,1.376490506906122,-0.009488006381848425,0.02415010856977164,-0.001442325172660775,0.1710715069019017,29.62011322355854,-0.0255490366919861
ATLAS (C/2025 N1),2460185.5,A.D. 2023-Aug-29 00:00:00.0000,12.5,5.321127272212681,4.5,-28.32557180974046,1.333098414086139,-0.009188494756846246,0.02435566635118604,-0.001450432876156956,0.1666344202746272,28.85185548933531,-0.02567304193959295
ATLAS (C/2025 N1),2460215.5,A.D. 2023-Sep-28 00:00:00.0000,12.5,5.049836949379218,4.5,-27.59164374013477,1.289465000190583,-0.008899625824347111,0.02457591084490385,-0.001458425184618365,0.1621740842422082,28.07957224539844,-0.02581634854836852
ATLAS (C/2025 N1),2460245.5,A.D. 2023-Oct-28 00:00:00.0000,12.5,4.787037022591118,4.5,-26.85087976019368,1.245594263964642,-0.008621505450296765,0.02481066528988496,-0.001466258113023395,0.1576871962371676,27.30269166991523,-0.0259786114688021
ATLAS (C/2025 N1),2460275.5,A.D. 2023-Nov-27 00:00:00.0000,12.5,4.532385978511072,4.5,-26.10285841853524,1.201490558383568,-0.008356382545145676,0.02506031970850078,-0.001473925884178414,0.1531705485189067,26.520658359818,-0.02616040774604947
ATLAS (C/2025 N1),2460305.5,A.D. 2023-Dec-27 00:00:00.0000,12.5,4.28551983820528,4.5,-25.34717584262522,1.157158385177172,-0.008103457880083863,0.02532225043317816,-0.001481467856863803,0.148621046263783,25.73293646300399,-0.02635880121540077
