targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
ATLAS (C/2025 N1),2460766.5,A.D. 2025-Apr-01 00:00:00.0000,12.5,1.154949977213948,4.5,-12.51408733191011,0.4499517649278191,-0.006127129115741433,0.03084309291691928,-0.001589573960457777,0.07262900833502187,12.5753229696617,-0.03131250931209623
ATLAS (C/2025 N1),2460767.5,A.D. 2025-Apr-02 00:00:00.0000,12.5,1.148823395717191,4.5,-12.48323554264718,0.4483620445545685,-0.006126761247241121,0.03086060086120538,-0.001589873674924468,0.0724481151476799,12.5440022851861,-0.03132904046696715
ATLAS (C/2025 N1),2460768.5,A.D. 2025-Apr-03 00:00:00.0000,12.5,1.142696491310621,4.5,-12.45236692403483,0.4467719875072744,-0.00612658090777012,0.03087697185492935,-0.001590223232643899,0.07226713002646572,12.51266568285397,-0.03134445390636286
ATLAS (C/2025 N1),2460769.5,A.D. 2025-Apr-04 00:00:00.0000,12.5,1.136569340755725,4.5,-12.42148095197125,0.4451816066968644,-0.006128207074349322,0.03089429875060043,-0.001590569452027806,0.0720860500341684,12.481312654103,-0.03136097771456296
ATLAS (C/2025 N1),2460770.5,A.D. 2025-Apr-05 00:00:00.0000,12.5,1.130441099046729,4.5,-12.39057900279121,0.4435908389624603,-0.0061279987037177,0.03091025902895259,-0.001590938961251849,0.0719048826577892,12.44994449526727,-0.03137596912031364
ATLAS (C/2025 N1),2460771.5,A.D. 2025-Apr-06 00:00:00.0000,12.5,1.124312397812006,4.5,-12.3596602862985,0.4419997188138945,-0.006129326376799252,0.03092651057194999,-0.001591325228089856,0.07172362372941077,12.41856048469426,-0.03139138452716948
ATLAS (C/2025 N1),2460772.5,A.D. 2025-Apr-07 00:00:00.0000,12.5,1.118183371464408,4.5,-12.32872565232691,0.4404082105205545,-0.006129094154787964,0.03094330619218032,-0.001591677972902359,0.07154227823085224,12.38716148495922,-0.03140719304463117
ATLAS (C/2025 N1),2460773.5,A.D. 2025-Apr-08 00:00:00.0000,12.5,1.11205356389232,4.5,-12.29777447424871,0.438816324940298,-0.006129829404001023,0.03095864260511952,-0.00159209761367134,0.07136084235929847,12.35574683762511,-0.03142163294111319
ATLAS (C/2025 N1),2460774.5,A.D. 2025-Apr-09 00:00:00.0000,12.5,1.105924314873235,4.5,-12.2668072218356,0.4372240644523294,-0.006129343933499169,0.0309761678144077,-0.001592422695665319,0.07117931954650478,12.32431713688195,-0.03143813249536323
ATLAS (C/2025 N1),2460775.5,A.D. 2025-Apr-10 00:00:00.0000,12.5,1.099794691874621,4.5,-12.23582292828106,0.4356314464569151,-0.00612935690014461,0.0309926043112996,-0.001592800478510113,0.07099770378705034,12.29287134292336,-0.03145358930496598
ATLAS (C/2025 N1),2460776.5,A.D. 2025-Apr-11 00:00:00.0000,12.5,1.093664942697869,4.5,-12.20482116732226,0.4340384820509869,-0.006130770565103799,0.03101040032568321,-0.001593156095893745,0.07081599279538477,12.26140906001855,-0.03147051764650627
ATLAS (C/2025 N1),2460777.5,A.D. 2025-Apr-12 00:00:00.0000,12.5,1.08753398836056,4.5,-12.17380303165904,0.4324451136421067,-0.006130682694390304,0.03102645009025791,-0.001593554037688637,0.07063419232163955,12.22993128377193,-0.03148556878159047
ATLAS (C/2025 N1),2460778.5,A.D. 2025-Apr-13 00:00:00.0000,12.5,1.081402711183249,4.5,-12.14276783633202,0.4308513751643568,-0.00613197760969845,0.03104329584330648,-0.001593948821289611,0.07045229892667275,12.19843741871453,-0.03150152870923797
ATLAS (C/2025 N1),2460779.5,A.D. 2025-Apr-14 00:00:00.0000,12.5,1.075271010152697,4.5,-12.11171634700763,0.4292572299691371,-0.00613163207575839,0.03106032384033778,-0.001594322920612514,0.07027031698956913,12.16692822306138,-0.03151751747249534
ATLAS (C/2025 N1),2460780.5,A.D. 2025-Apr-15 00:00:00.0000,12.5,1.069138605051876,4.5,-12.08064774958156,0.4276626965906132,-0.006132631559328933,0.03107631492766641,-0.00159475576367625,0.07008824172818895,12.13540286881064,-0.03153258847966373
ATLAS (C/2025 N1),2460781.5,A.D. 2025-Apr-16 00:00:00.0000,12.5,1.063006595134537,4.5,-12.04956273704958,0.4260677651511316,-0.006131985316621537,0.03109419562669753,-0.001595098906946084,0.06990607772128037,12.10386214874799,-0.03154938624782663
